Key,Value
17,Oblivion
1,Clavicus Vile
2,Mehrunes Dagon
3,Molag Bal
4,Hircine
5,Sanguine
6,Peryite
7,Malacath
8,Hermaeus Mora
10,Boethiah
11,Namira
12,Meridia
13,Vaernima
14,Nocturnal
15,Mephala
356,La Madre Noche
108,La Hermandad Oscura
839,Entrenadores Oscuros
840,Mezcladores Oscuros
841,Maestros del Veneno
842,Conspiradores Oscuros
843,Enlazadores Oscuros
807,Asesinos Oscuros
16,Azura
9,Sheogorath
450,Templo Genérico
240,Misioneros del Templo
810,Tesoreros del Templo
813,Sanadores del Templo
811,Bendecidores del Templo
25,Ebonarm
90,La Ciudadela de Ebonarm
91,Los Señores de la Batalla
21,Arkay
82,La Orden de Arkay
83,Los Caballeros del Círculo
453,Boticarios de Arkay
454,Mezcladores de Arkay
456,Invocadores de Arkay
455,Enlazadores de Arkay
241,Maestros de Arkay
22,Zen
84,La Resolución de Z'en
85,Los Caballeros de Hierro
462,Boticarios de Z'en
463,Mezcladores de Z'en
464,Invocadores de Z'en
243,Maestros de Z'en
24,Mara
88,La Benevolencia de Mara
402,Lord Quistley
89,Los Caballeros de Mara
468,Boticarios de Mara
469,Mezcladores de Mara
470,Invocadores de Mara
245,Maestros de Mara
26,Akatosh
92,La Capilla de Akatosh
93,La Orden de la Hora
385,Charvek-si
473,Boticarios de Akatosh
474,Mezcladores de Akatosh
475,Invocadores de Akatosh
247,Maestros de Akatosh
27,Julianos
94,La Escuela de Julianos
95,Los Caballeros Mentores
407,Br'itsa
480,Artesanos de Julianos
481,Herreros de Julianos
482,Invocadores de Julianos
249,Maestros de Julianos
29,Dibella
98,La Casa de Dibella
99,La Orden del Lirio
485,Boticarios de Dibella
487,Mezcladores de Dibella
488,Invocadores de Dibella
250,Maestros de Dibella
33,Stendarr
106,El Templo de Stendarr
107,Los Cruzados
490,Boticarios de Stendarr
491,Mezcladores de Stendarr
492,Invocadores de Stendarr
252,Maestros de Stendarr
35,Kynareth
36,El Templo de Kynareth
37,La Orden de Kynareth
370,Lord Coulder
497,Forjadores de Hechizos
498,Invocadores de Kynareth
496,Encantadores de Kynareth
254,Maestros de Kynareth
977,Secreto de Oblivion
40,El Gremio de Magos
68,El Archimagister
69,El Magister del Gremio
369,Popudax
396,Karethys
71,Maestro de los Incunables
70,Maestro de la Academia
74,Maestro del Scry
72,Maestro de Armas
73,El Palatinus
76,Maestro de Iniciados
60,Los Académicos
61,Los Patricios
62,La Liga de Viajeros
63,Los Magos Mercenarios
64,Los Isolationistas
65,Los Magos de Utilidad
66,La Cábala
67,La Orden de la Lámpara
801,Los Magos Odílicos
802,Los Artesanos
150,Los Vraseth
151,Los Haarvenu
152,Los Thrafey
153,Los Lyrezi
154,Los Montalion
155,Los Khulari
156,Los Garlythi
157,Los Anthotis
158,Los Selenu
41,El Gremio de Luchadores
849,Entrenadores de Lucha
850,Equipadores de Lucha
851,Misiones de Lucha
42,El Gremio de Ladrones
77,El Maestro del Gremio
373,El Cuervo
388,Thaik
399,El Calamar
375,Lord Bertram Spode
374,Thyr Topfield
389,Whitka
18,Maestro de Iniciados
803,Entrenadores de la Sombra
804,Intrigantes de la Sombra
805,Tasadores de la Sombra
806,Espías de la Sombra
852,Gobernante Aleatorio
242,Noble Aleatorio
853,Caballero Aleatorio
200,Dwynnen
516,Corte de Dwynnen
517,Gente de Dwynnen
414,La Orden del Cuervo
844,Orden de Caballería Genérica
845,Herreros
846,Buscadores de Misiones
847,Sanadores
848,Senescal
201,Daggerfall
364,Rey Gothryd
371,Mobar
372,La Guardia Real
365,Reina Aubk-i
500,Cyndassa
366,Mynisera
367,Lord Bridwell
368,Los Caballeros del Dragón
377,Lady Bridwell
501,Lady Northbridge
595,Corte de Daggerfall
518,Gente de Daggerfall
203,Betony
519,Corte de Betony
520,Gente de Betony
202,Glenpoint
521,Corte de Glenpoint
522,Gente de Glenpoint
413,Los Caballeros del Búho
204,Sentinel
380,Reina Akorithi
383,Lord Vhosek
384,Las Guardias Reales
381,Príncipe Greklith
382,Príncipe Lhotun
386,Lord K'avar
408,La Orden de la Vela
387,Lord Provlith
596,Corte de Sentinel
523,Gente de Sentinel
205,Anticlere
400,Lady Doryanna Flyte
410,Los Caballeros de la Llama
401,Lord Auberon Flyte
403,Farrington
404,Lord Perwright
597,Corte de Anticlere
524,Gente de Anticlere
206,Lainlyn
379,Barón Shrike
411,La Hueste del Cuerno
405,Baronesa Dh'emka
406,Lord Kain
246,Corte de Lainlyn
525,Gente de Lainlyn
207,Wayrest
390,Rey Eadwyre
391,Reina Barenziah
392,Princesa Elysana
393,Príncipe Helseth
394,Princesa Morgiah
395,Lord Castellian
397,Lord Darkworth
409,Los Caballeros de la Rosa
398,Lord Woodborne
499,Corte de Wayrest
526,Gente de Wayrest
208,Northmoor
527,Corte de Northmoor
528,Gente de Northmoor
209,Menevia
529,Corte de Menevia
530,Gente de Menevia
210,Alcaire
531,Corte de Alcaire
532,Gente de Alcaire
211,Koegria
533,Corte de Koegria
534,Gente de Koegria
212,Bhoriane
535,Corte de Bhoriane
536,Gente de Bhoriane
213,Kambria
537,Corte de Kambria
538,Gente de Kambria
214,Phrygias
539,Corte de Phrygias
540,Gente de Phrygias
215,Urvaius
541,Corte de Urvaius
542,Gente de Urvaius
216,Ykalon
543,Corte de Ykalon
544,Gente de Ykalon
217,Daenia
545,Corte de Daenia
546,Gente de Daenia
218,Shalgora
547,Corte de Shalgora
548,Gente de Shalgora
219,Abibon-Gora
549,Corte de Abibon-Gora
550,Gente de Abibon-Gora
415,Los Caballeros de la Rueda
220,Kairou
551,Corte de Kairou
552,Gente de Kairou
221,Pothago
553,Corte de Pothago
554,Gente de Pothago
222,Myrkwasa
555,Corte de Myrkwasa
556,Gente de Myrkwasa
223,Ayasofya
557,Corte de Ayasofya
558,Gente de Ayasofya
224,Tigonus
559,Corte de Tigonus
560,Gente de Tigonus
225,Kozanset
561,Corte de Kozanset
562,Gente de Kozanset
226,Satakalaam
563,Corte de Satakalaam
564,Gente de Satakalaam
227,Totambu
565,Corte de Totambu
566,Gente de Totambu
416,La Orden del Escarabajo
228,Mournoth
567,Corte de Mournoth
568,Gente de Mournoth
229,Ephesus
569,Corte de Ephesus
570,Gente de Ephesus
230,Santaki
571,Corte de Santaki
572,Gente de Santaki
231,Antiphyllos
573,Corte de Antiphyllos
574,Gente de Antiphyllos
417,Los Caballeros del Halcón
232,Bergama
575,Corte de Bergama
576,Gente de Bergama
233,Gavaudon
577,Corte de Gavaudon
578,Gente de Gavaudon
234,Tulune
579,Corte de Tulune
580,Gente de Tulune
235,Ilessan Hills
581,Corte de Ilessan Hills
582,Gente de Ilessan Hills
236,Cybiades
583,Corte de Cybiades
584,Gente de Cybiades
301,El Oráculo
302,El Acólito
303,Nulfaga
304,Skakmat
305,Rey de los Gusanos
306,Los Nigromantes
350,El Imperio Septim
351,El Gran Caballero
129,Los Cuchillas
352,Lady Brisienna
353,El Rey Bajo la Montaña
354,Agentes del Rey Bajo la Montaña
355,Lord Harth
412,La Hueste del Cuerno Verdadero
358,Orsinium
357,Gortwog
598,Corte de Orsinium
599,Gente de Orsinium
359,Lord Plessington
418,La Orden de la Copa
360,Lord Kilbar
361,Chulmore Quill
362,El Circo Quill
376,Baltham Greyman
378,Sylch Greenwood
419,Las Brujas de Glenmoril
420,Las Brujas del Polvo
421,Las Brujas de Devilrock
422,Las Brujas de Tamarilyn
423,Las Hermanas del Acantilado
424,Las Hijas de Wroth
425,Las Brujas de Skeffington
426,Las Brujas del Pantano
427,Las Brujas de la Montaña
428,Las Brujas de Daggerfall
429,Las Beldama
430,Las Hermanas de Kykos
431,Las Brujas de la Marea
432,Las Brujas de Alcaire
510,Los Mercaderes
511,Los Bardos
512,Las Prostitutas
513,Los Feéricos
514,Niños
515,Bailarines
502,Wrothgaria
503,Corte de Wrothgaria
504,Gente de Wrothgaria
505,Dragontail
506,Corte de Dragontail
507,Gente de Dragontail
508,Alik'ra
509,Corte de Alik'ra
590,Gente de Alik'ra
591,Dak'fron
592,Corte de Dak'fron
593,Gente de Dak'fron
199,Isla de Balfiera
363,Medora
244,Corte de Balfiera
198,Gente de Balfiera
196,Glenumbra Moors
195,Corte de Glenumbra Moors
194,Gente de Glenumbra Moors
