Key,Value
382613,Mansión Caarcun
1435144,Hostal El Cabrito Volador
2484750,Ruinas de la Alquería Caorchom
3533330,Estrella Cantante de Stendarr
4582840,Posada El Grifo Muerto
5631489,Renacimiento Sagrado de Stendarr
6681069,Ruinas de la Alquería F'igta
7730553,Profeta Bendito de Stendarr
8779219,Guardia de Maorn
9828725,El Viejo Hogar de Nheth
10878349,Atriga
11926957,Las Tumbas de Klerd
12975535,La Vieja Choza de Luctta
14025104,Bubyrydata
15074640,Hostal El Murciélago y el Ave
16124193,Berbaaqnia
17174726,Las Criptas de Rhajom
18223327,Groleten
19271936,Ruinas del Viejo Hogar de Stectti
20320547,La Alquería Shust
21369130,Mártir Santo de Stendarr
22417712,Castillo Lhishen
23467165,Las Tumbas de Cofylt
24516751,Árbol Temeroso de Stendarr
25565421,Las Bóvedas de T'arder
26614955,Ruinas de la Alquería Ghach
27663535,Ruinas del Palacio Tlurn'kern
28712158,Mansión Mhurgin
29760740,Redentor Lloroso de Stendarr
30810229,Ruinas del Huerto Mhurp
31859850,La Telaraña de Azarus
32910438,La Torre de Thuze
33959037,Ruinas de la Mansión Cyeghtan
35008605,Kaloguja
36057193,Ruinas de la Granja Saullur
37106662,Ruinas de la Guardia de Merim
38155335,Taberna El Rato y el Castillo
39204823,Granja Rlictta
40253489,Syro-Kom
41303972,Luz Sangrante de Stendarr
42353413,Ruinas de la Vieja Choza de Lerkfa
43402098,Ruinas de la Corte Krofylen
44450710,La Torre de Caect'kern
45499404,Vidente Sangrante de Stendarr
46548913,Ruinas del Viejo Hogar de Mhorci
47597527,La Torre de Baesum
48647001,Hettubu
49695593,Ruinas del Salón Rairgke
50744174,Sekbith
51793622,Palacio Fholl
52842419,Taberna La Jarra del Diablo
53891732,Ruinas de la Vieja Granja de Sles-i
54940340,Mogandaton
55989066,El Cementerio Rurcur
57037717,Las Bóvedas de Vlozir
58086314,La Telaraña de Tricerlorog
59135650,Ruinas de la Alquería Rlethten
60184362,La Casona Marexulla
61233933,Palacio Grejon
62282512,El Túmulo de Balthobam
63331146,El Sepulcro de Lithehoth
64379737,Salón Dhalpem
65429189,Las Criptas de Chort
66477767,Zenunnuga
67526394,Rhogila
68575045,Mansión Garin
69624526,La Ciudadela de Kherdar
70673223,Torre Dasen
71722522,La Vieja Choza de Mught-si
72771108,Ídolo Ardiente de Stendarr
73819798,Corte Khurtin
74868381,Osopaisa
75917092,El Foso de Flor
76966430,La Ermita de Maelinxullah
78015130,Posada El Tejón Inquieto
79064561,Torre Shallir
80113160,Ruins of Rlold'kern Tower
81161870,Mesascuza
82210490,Ceriburea
83259071,Baghissibu
84307700,Palacio B'ird
85356287,El Friarato de Geriblither
86405622,El Cementerio Relder
87454323,Mansión Baerpe
88502910,Vidente Sagrado de Stendarr
89551540,Torre Fhirht'kern
90600914,Salón Mhustun
91649523,Ruinas de la Alquería Maeshke
92698270,Amanecer Sangrante de Stendarr
93747600,Ruinas de la Alquería Barpen
94796189,Ruinas de la Mansión Racher
95844799,El Cementerio Birker
96893512,El Cementerio Lhojin
97942118,Sashthrac
98991510,Ruinas de la Plantación Tosom
100040090,Aquelarre en el Pantano
