Key,Value
4,Máscara de Clavicus
66,Cuchilla de Mehrunes
128,Maza de Molag Bal
190,Anillo de Hircine
252,Rosa de Sanguine
314,Oghma Infinium
376,Wabbajack
438,Anillo de Namira
500,Cráneo de Corrupción
562,Estrella de Azura
624,%it Silencioso
686,%it del Sabio
748,%it de Fuego Salvaje
810,%it de Descarga de Fuerza
872,%it Brillante
934,%it de la Puerta Sellada
996,%it de Acceso Innegable
1058,%it de Antídoto de Veneno
1120,%it de Robo de Vida
1182,%it de Fuego del Mago
1244,%it de Salto
1306,%it de Caminar sobre Agua
1368,%it de Magia
1430,%it Incansable
1492,%it de Peso Pluma
1554,"%it, el Protector"
1616,%it de Choque
1678,%it Maldito
1740,%it de Silencio Lejano
1802,%it de Escupitajo de Veneno
1864,%it Ardiente de Bolas de Fuego
1926,%it Gélido de Tormentas de Hielo
1988,%it de Rayos
2050,%it del Hombre Muerto
2112,%it de Curación
2174,%it del Señor Orco
2236,%it Irrefrenable
2298,%it de Voluntad de Hierro
2360,%it de Agilidad
2422,%it de Torgo
2484,%it de Fortaleza
2546,%it de Amistad
2608,%it de Buena Suerte
2670,%it de Oblivion
2732,%it de Nubes Tóxicas
2794,%it de Parálisis
2856,Volendrung
2918,Anillo del Hechicero
2980,Arco de Auriel
3042,Amuleto del Nigromante
3104,Chrysamere
3166,Cota del Señor
3228,Bastón de Magnus
3290,Anillo de Khajiit
3352,Cota de Ébano
3414,Escudo de Auriel
3476,Aniquilador de Hechizos
3538,Llave del Esqueleto
3600,Hoja de Ébano
