Key,Value
1,Jaula de Fenrik
2,Flotabilidad
3,Congelación
4,Levitación
5,Luz
6,Invisibilidad
7,Fuego del Mago
8,Choque
9,Robo de Fuerza
10,Acción Libre
11,Resist. al Frío
12,Resist. al Fuego
13,Resist. al Choque
14,Bola de Fuego
15,Curar Veneno
16,Descarga de Hielo
17,Escudo
18,Abrir
19,Cerradura Mago
20,Tormenta Hielo
22,Escudo Hechizos
23,Silencio
24,Sangre de Troll
25,Tormenta Fuego
26,Resist. Veneno
27,Drenaje Hechizo
28,Silencio Lejano
29,Nube Tóxica
30,Espejo Shalidor
31,Rayo
32,Fuego Divino
33,Fuego Salvaje
34,Desgarro Mago
35,Mirada Medusa
36,Descarga Fuerza
37,Caída Lenta
38,Salto
39,Resist. Hechizo
40,Aguante
41,Caminar Agua
42,Resp. Acuática
44,Camaleón
45,Forma de Sombra
46,Reflejo Hechizo
47,Absorción Hech.
49,Lenguas
50,Parálisis
51,Sueño
52,Toque Vampírico
53,Mano del Sueño
54,Sanguijuela Mag.
55,Esfera Negación
56,Mano Descomp.
57,Desterrar Daedra
58,Palabra Sagrada
59,Magia Nula
60,Antídoto Balyna
61,Curar Enferm.
62,Trampa de Almas
64,Curar
66,Toque de Araña
67,Robo de Energía
71,Nuez Vómica
72,Arsénico
73,Semilla de Luna
74,Hierba de Luna
75,Somnalius
76,Ácido Pírrico
77,Matamagos
78,Thyrwort
79,Indulce
80,Sursum
81,Quaesto Vil
82,Fuerza Orca
83,Sabiduría
84,Voluntad Hierro
85,Agilidad
86,Pies de Notorgo
87,Fortaleza
88,Carisma
89,Aprendiz Artes.
90,Hechizo Mortal
91,Calma Humanoide
92,Licantropía
94,Recuerdo
97,Bálsamo Balyna
98,Muertos Silenc.
99,Domesticar
